uri,prefLabel,definition,altLabel,id
http://vocab.nerc.ac.uk/collection/P07/current/3TVT57J2/,tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_gaseous_phase_net_chemical_production,"""Content"" indicates a quantity per unit area. The ""atmosphere content"" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ""content_of_atmosphere_layer"" are used. The mass is the total mass of the particles. ""Aerosol"" means the system of suspended liquid or solid particles in air (except cloud droplets) and their carrier gas, the air itself. Aerosol particles take up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the particles. ""Dry aerosol particles"" means aerosol particles without any water uptake. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Gaseous phase net chemical production"" means the net result of all gaseous chemical processes in the atmosphere that produce or destroy a species, distinct from chemical processes in the aqueous phase. ""tendency_of_X"" means derivative of X with respect to time. The chemical formula for the sulfate anion is SO4(2-).",,SDN:P07::3TVT57J2
http://vocab.nerc.ac.uk/collection/P07/current/UA5EK79W/,area_fraction_of_night_defined_by_solar_zenith_angle,"""Area fraction"" is the fraction of a grid cell's horizontal area that has some characteristic of interest. It is evaluated as the area of interest divided by the grid cell area, or if the cell_methods restricts the evaluation to some portion of that grid cell (e.g. ""where sea_ice""), then it is the area of interest divided by the area of the identified portion. It may be expressed as a fraction, a percentage, or any other dimensionless representation of a fraction. A coordinate variable of solar_zenith_angle indicating the day extent should be specified. Solar zenith angle is the the angle between the line of sight to the sun and the local vertical.",,SDN:P07::UA5EK79W
http://vocab.nerc.ac.uk/collection/P07/current/CFV7N34/,tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_wet_deposition,"""tendency_of_X"" means derivative of X with respect to time. ""Content"" indicates a quantity per unit area. ""Wet deposition"" means deposition by precipitation.",,SDN:P07::CFV7N34
http://vocab.nerc.ac.uk/collection/P07/current/CF12N6/,atmosphere_mass_content_of_alpha_pinene,"""Content"" indicates a quantity per unit area.  The ""atmosphere content"" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used.  The chemical formula for alpha_pinene is C10H16. The IUPAC name for alpha-pinene is (1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene.",,SDN:P07::CF12N6
http://vocab.nerc.ac.uk/collection/P07/current/RQ5JLQTX/,surface_downward_mass_flux_of_methane_due_to_wetland_biological_consumption,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Downward"" indicates a vector component which is positive when directed downward (negative upward). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The chemical formula for methane is CH4. The mass is the total mass of the molecules. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. Wetlands are areas where water covers the soil, or is present either at or near the surface of the soil all year or for varying periods of time during the year, including during the growing season. The precise conditions under which wetlands produce and consume methane can vary between models.",,SDN:P07::RQ5JLQTX
http://vocab.nerc.ac.uk/collection/P07/current/INRMMT8S/,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration_in_leaves,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The chemical formula for carbon dioxide is CO2. The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. Plant respiration is the sum of respiration by parts of plants both above and below the soil. Plants which photosynthesise are autotrophs i.e. ""producers"" of the biomass which they respire from inorganic precursors using sunlight for energy.",,SDN:P07::INRMMT8S
http://vocab.nerc.ac.uk/collection/P07/current/CF14N116/,tendency_of_ocean_mole_content_of_elemental_nitrogen_due_to_deposition_and_fixation_and_runoff,"The phrase ""tendency_of_X"" means derivative of X with respect to time. ""Content"" indicates a quantity per unit area. The ""ocean content"" of a quantity refers to the vertical integral from the surface to the bottom of the ocean. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. Deposition of nitrogen into the ocean is the sum of dry and wet deposition of nitrogen species onto the ocean surface from the atmosphere. ""Nitrogen fixation"" means the production of ammonia from nitrogen gas. Organisms that fix nitrogen are termed ""diazotrophs"". Diazotrophic phytoplankton can fix atmospheric nitrogen, thus increasing the content of nitrogen in the ocean. Runoff is the liquid water which drains from land. If not specified, ""runoff"" refers to the sum of surface runoff and subsurface drainage.",,SDN:P07::CF14N116
http://vocab.nerc.ac.uk/collection/P07/current/FOQ2TGCS/,mole_concentration_of_cfc12_in_sea_water,"""Mole concentration"" means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The chemical formula for CFC12 is CF2Cl2. The IUPAC name for CFC12 is dichloro(difluoro)methane.",,SDN:P07::FOQ2TGCS
http://vocab.nerc.ac.uk/collection/P07/current/QGOOLVIF/,surface_upward_mass_flux_of_carbon_due_to_heterotrophic_respiration_in_soil,"""Upward"" indicates a vector component which is positive when directed upward (negative downward). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. Heterotrophic respiration is respiration by heterotrophs (""consumers""), which are organisms (including animals and decomposers) that consume other organisms or dead organic material, rather than synthesising organic material from inorganic precursors using energy from the environment (especially sunlight) as autotrophs (""producers"") do. Heterotrophic respiration goes on within both the soil and litter pools.",,SDN:P07::QGOOLVIF
http://vocab.nerc.ac.uk/collection/P07/current/CFV8N75/,sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment,"The wave directional spectrum can be written as a  five dimensional function S(t,x,y,f,theta) where t is time, x and y are horizontal coordinates (such as longitude and latitude), f is frequency and theta is direction.  S has the standard name sea_surface_wave_directional_variance_spectral_density.  S can be integrated over direction to give S1= integral(S dtheta) and this quantity has the standard name sea_surface_wave_variance_spectral_density.  Frequency moments, M(n) of S1 can then be calculated as follows: M(n) = integral(S1 f^n df), where f^n is f to the power of n.  The second wave period, T(m2) is calculated as the square root of the ratio M(0)/M(2).",,SDN:P07::CFV8N75
http://vocab.nerc.ac.uk/collection/P07/current/CFSN0393/,sea_water_density,"Sea water density is the in-situ density (not the potential density). If 1000 kg m-3 is subtracted, the standard name sea_water_sigma_t should be chosen instead.",,SDN:P07::CFSN0393
http://vocab.nerc.ac.uk/collection/P07/current/7XZLO2SJ/,basal_downward_heat_flux_in_sea_ice,"""Downward"" indicates a vector component which is positive when directed downward (negative upward). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. ""Sea ice"" means all ice floating in the sea which has formed from freezing sea water, rather than by other processes such as calving of land ice to form icebergs.",,SDN:P07::7XZLO2SJ
http://vocab.nerc.ac.uk/collection/P07/current/45XGD9AU/,surface_radioactivity_content_of_117In,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""In"" means the element ""indium"" and ""117In"" is the isotope ""indium-117"" with a half-life of 3.05e-02 days.",,SDN:P07::45XGD9AU
http://vocab.nerc.ac.uk/collection/P07/current/QHCOUCAE/,surface_radioactivity_content_of_79Se,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Se"" means the element ""selenium"" and ""79Se"" is the isotope ""selenium-79"" with a half-life of 2.37e+07 days.",,SDN:P07::QHCOUCAE
http://vocab.nerc.ac.uk/collection/P07/current/PGCOL9HW/,radioactivity_concentration_of_92Sr_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Sr"" means the element ""strontium"" and ""92Sr"" is the isotope ""strontium-92"" with a half-life of 1.13e-01 days.",,SDN:P07::PGCOL9HW
http://vocab.nerc.ac.uk/collection/P07/current/R9V07Y1F/,tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission_from_fires,"The phrase ""tendency_of_X"" means derivative of X with respect to time. ""Content"" indicates a quantity per unit area. The ""atmosphere content"" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ""content_of_atmosphere_layer"" are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Emission"" means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ""Emission"" is a process entirely distinct from ""re-emission"" which is used in some standard names. The term ""fires"" means all biomass fires, whether naturally occurring or ignited by humans. ""Nox"" means nitric oxide (NO) and nitrogen dioxide (NO2).",,SDN:P07::R9V07Y1F
http://vocab.nerc.ac.uk/collection/P07/current/CF12N471/,mole_concentration_of_hydrogen_chloride_in_air,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for hydrogen chloride is HCl.",,SDN:P07::CF12N471
http://vocab.nerc.ac.uk/collection/P07/current/T4QVHCST/,change_in_sea_surface_height_due_to_pole_tide,"""Sea surface height"" is a time-varying quantity. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. Tides are a significant contributor to the observed sea surface height; the pole tide occurs due to variations in the earth's rotation.",,SDN:P07::T4QVHCST
http://vocab.nerc.ac.uk/collection/P07/current/WHOJ1OG4/,sea_surface_secondary_swell_wave_significant_height,"Swell waves are waves on the ocean surface and are the low frequency portion of a bimodal wave frequency spectrum. The secondary swell wave is the second most energetic wave in the low frequency portion of a bimodal wave frequency spectrum. Significant wave height is a statistic computed from wave measurements and corresponds to the average height of the highest one third of the waves, where the height is defined as the vertical distance from a wave trough to the following wave crest.",,SDN:P07::WHOJ1OG4
http://vocab.nerc.ac.uk/collection/P07/current/CFSN0070/,volume_fraction_of_silt_in_soil,"""Volume fraction"" is used in the construction ""volume_fraction_of_X_in_Y"", where X is a material constituent of Y. It is evaluated as the volume of X divided by the volume of Y (including X). It may be expressed as a fraction, a percentage, or any other dimensionless representation of a fraction.",,SDN:P07::CFSN0070
http://vocab.nerc.ac.uk/collection/P07/current/CF12N452/,mole_concentration_of_ethane_in_air,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for ethane is C2H6. Ethane is a member of the group of hydrocarbons known as alkanes.  There are standard names for the alkane group as well as for some of the individual species.",,SDN:P07::CF12N452
http://vocab.nerc.ac.uk/collection/P07/current/GOLXU441/,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_land_use_or_land_cover_change,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics. The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A. The chemical formula for carbon dioxide is CO2. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Anthropogenic"" means influenced, caused, or created by human activity.  ""Anthropogenic land use change"" means human changes to land, excluding forest regrowth. It includes fires ignited by humans for the purpose of land use change and the processes of eventual disposal and decomposition of wood products such as paper, cardboard, furniture and timber for construction.",,SDN:P07::GOLXU441
http://vocab.nerc.ac.uk/collection/P07/current/B8VGLMWX/,integral_wrt_time_of_radioactivity_concentration_of_135Cs_in_air,"The phrase ""integral_wrt_X_of_Y"" means int Y dX. The data variable should have an axis for X specifying the limits of the integral as bounds. The phrase ""wrt"" means ""with respect to"". ""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Cs"" means the element ""cesium"" and ""135Cs"" is the isotope ""cesium-135"" with a half-life of 8.39e+08 days.",,SDN:P07::B8VGLMWX
http://vocab.nerc.ac.uk/collection/P07/current/Y1KIMNPY/,radioactivity_concentration_of_244mAm_in_air,"""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Am"" means the element ""americium"" and ""244mAm"" is the metastable state of the isotope ""americium-244"" with a half-life of 1.81e-02 days.",,SDN:P07::Y1KIMNPY
http://vocab.nerc.ac.uk/collection/P07/current/YXE1NWAO/,integral_wrt_time_of_radioactivity_concentration_of_87Rb_in_air,"The phrase ""integral_wrt_X_of_Y"" means int Y dX. The data variable should have an axis for X specifying the limits of the integral as bounds. The phrase ""wrt"" means ""with respect to"". ""Radioactivity"" means the number of radioactive decays of a material per second. ""Radioactivity concentration"" means radioactivity per unit volume of the medium. ""Rb"" means the element ""rubidium"" and ""87Rb"" is the isotope ""rubidium-87"" with a half-life of 1.71e+13 days.",,SDN:P07::YXE1NWAO
http://vocab.nerc.ac.uk/collection/P07/current/CFSN0467/,ocean_mixed_layer_thickness,"The ocean mixed layer is the upper part of the ocean, regarded as being well-mixed. Various criteria are used to define the mixed layer; this can be specified by using a standard name of ocean_mixed_layer_defined_by_X. ""Thickness"" means the vertical extent of a layer.",,SDN:P07::CFSN0467
http://vocab.nerc.ac.uk/collection/P07/current/CF12N628/,tendency_of_atmosphere_mass_content_of_formic_acid_due_to_wet_deposition,"The phrase ""tendency_of_X"" means derivative of X with respect to time. ""Content"" indicates a quantity per unit area. The ""atmosphere content"" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including content_of_atmosphere_layer are used. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Wet deposition"" means deposition by precipitation. The chemical formula for formic acid is HCOOH. The IUPAC name for formic acid is methanoic acid.",,SDN:P07::CF12N628
http://vocab.nerc.ac.uk/collection/P07/current/CFV8N79/,specific_kinetic_energy_of_sea_water,"""specific"" means per unit mass.",,SDN:P07::CFV8N79
http://vocab.nerc.ac.uk/collection/P07/current/CFSN0767/,atmosphere_sleve_coordinate,See Appendix D of the CF convention for information about parametric vertical coordinates.,,SDN:P07::CFSN0767
http://vocab.nerc.ac.uk/collection/P07/current/CF12N26/,atmosphere_mass_content_of_cfc11,"""Content"" indicates a quantity per unit area. The ""atmosphere content"" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ""content_of_atmosphere_layer"" are used. The mass is the total mass of the molecules. The chemical formula of CFC11 is CFCl3. The IUPAC name for CFC11 is trichloro(fluoro)methane.",,SDN:P07::CF12N26
http://vocab.nerc.ac.uk/collection/P07/current/GGIIJAGJ/,tendency_of_atmosphere_mass_content_of_toluene_due_to_emission_from_agricultural_production,"The phrase ""tendency_of_X"" means derivative of X with respect to time. ""Content"" indicates a quantity per unit area. The ""atmosphere content"" of a quantity refers to the vertical integral from the surface to the top of the atmosphere. For the content between specified levels in the atmosphere, standard names including ""content_of_atmosphere_layer"" are used. The mass is the total mass of the molecules. The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Emission"" means emission from a primary source located anywhere within the atmosphere, including at the lower boundary (i.e. earth's surface). ""Emission"" is a process entirely distinct from ""re-emission"" which is used in some standard names. The chemical formula for toluene is C6H5CH3. Toluene has the same structure as benzene, except that one of the hydrogen atoms is replaced by a methyl group. The IUPAC name for toluene is methylbenzene. The ""agricultural production"" sector comprises the agricultural processes of enteric fermentation, manure management, rice cultivation, agricultural soils and other. It may also include any not-classified or ""other"" combustion, which is commonly included in agriculture-related inventory data. ""Agricultural production"" is the term used in standard names to describe a collection of emission sources. A variable which has this value for the standard_name attribute should be accompanied by a comment attribute which lists the source categories and provides a reference to the categorization scheme, for example, ""IPCC (Intergovernmental Panel on Climate Change) source categories 4A, 4B, 4C, 4D and 4G as defined in the 2006 IPCC guidelines for national greenhouse gas inventories"".",,SDN:P07::GGIIJAGJ
http://vocab.nerc.ac.uk/collection/P07/current/CFSN0081/,upward_water_vapor_flux_in_air,"'Upward' indicates a vector component which is positive when directed upward (negative downward). In accordance with common usage in geophysical disciplines, 'flux' implies per unit area, called 'flux density' in physics.",,SDN:P07::CFSN0081
http://vocab.nerc.ac.uk/collection/P07/current/CF12N411/,mass_fraction_of_peroxynitric_acid_in_air,"""Mass fraction"" is used in the construction ""mass_fraction_of_X_in_Y"", where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X). A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The chemical formula for peroxynitric acid, sometimes referred to as PNA, is HO2NO2.",,SDN:P07::CF12N411
http://vocab.nerc.ac.uk/collection/P07/current/W7942BWD/,sensor_band_central_radiation_frequency,"sensor_band_central_radiation_frequency is the central frequency of a sensor's band, calculated as the first moment of the band's normalized spectral response function.",,SDN:P07::W7942BWD
http://vocab.nerc.ac.uk/collection/P07/current/CF12N224/,mass_concentration_of_atomic_nitrogen_in_air,"Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for atomic nitrogen is N.",,SDN:P07::CF12N224
http://vocab.nerc.ac.uk/collection/P07/current/INNVXAOH/,flood_water_duration_above_threshold,"The  quantity with standard name flood_water_duration_above_threshold is the time elapsed between the instant when the flood depth first rises above a given threshold until the time falls below the same threshold for the last time at a given point in space. If a threshold is supplied, it should be specified by associating a coordinate variable or scalar coordinate variable with the data variable and giving the coordinate variable a standard name of flood_water_thickness. The values of the coordinate variable are the threshold values for the corresponding subarrays of the data variable. If no threshold is specified, its value is taken to be zero. Flood water is water that covers land which is normally not covered by water.",,SDN:P07::INNVXAOH
http://vocab.nerc.ac.uk/collection/P07/current/DWDVJ3B2/,tendency_of_atmosphere_mole_concentration_of_methane_due_to_chemical_destruction,"Mole concentration means number of moles per unit volume, also called ""molarity"", and is used in the construction ""mole_concentration_of_X_in_Y"", where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as ""nitrogen"" or a phrase such as ""nox_expressed_as_nitrogen"". The specification of a physical process by the phrase ""due_to_"" process means that the quantity named is a single term in a sum of terms which together compose the general quantity named by omitting the phrase. ""Chemical destruction"" means the result of all chemical reactions within the medium (here, atmosphere) that remove a certain amount of a particular species from the medium. ""tendency_of_X"" means derivative of X with respect to time. The chemical formula for methane is CH4. Methane is a member of the group of hydrocarbons known as alkanes. There are standard names for the alkane group as well as for some of the individual species.",,SDN:P07::DWDVJ3B2
http://vocab.nerc.ac.uk/collection/P07/current/CF12N146/,atmosphere_moles_of_hox_expressed_as_hydrogen,"The construction ""atmosphere_moles_of_X"" means the total number of moles of X in the entire atmosphere, i.e. summed over the atmospheric column and over the entire globe. ""HOx"" means a combination of two radical species containing hydrogen and oxygen: OH and HO2. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A.",,SDN:P07::CF12N146
